window,candidate,horizon_segment,wape,bias_pct
cv_1802_1829,trend_store_department,F22_F28,0.9634988829994953,-0.0431270119093027
cv_1802_1829,trend_store_category,F1_F7,0.9350323335576983,-0.08464025683677447
cv_1802_1829,trend_store_category,F8_F14,0.9466347401782887,-0.07376492795887782
cv_1802_1829,trend_store_category,F15_F21,0.9868311574352813,-0.19186215967818954
cv_1802_1829,trend_store_category,F22_F28,0.9620279683960011,-0.04085932170445365
cv_1802_1829,trend_horizon_daily,F1_F7,0.9312800462791833,-0.09341071385766113
cv_1802_1829,trend_horizon_daily,F8_F14,0.9772253746976599,-0.024378561090537935
cv_1802_1829,trend_horizon_daily,F15_F21,1.0187879100057562,-0.14006347596674282
cv_1802_1829,trend_horizon_daily,F22_F28,0.9675199718892242,-0.0547574633576537
cv_1802_1829,direct_segment_trend,F1_F7,0.9296020093610292,-0.09455952338007279
cv_1802_1829,direct_segment_trend,F8_F14,0.9716762288658217,-0.021073069927216324
cv_1802_1829,direct_segment_trend,F15_F21,0.9741519436195499,-0.21720836891157919
cv_1802_1829,direct_segment_trend,F22_F28,0.9520632435363889,-0.06167094774543008
cv_1802_1829,blend_base_global_25,F1_F7,0.9386897876744172,-0.07019150156481029
cv_1802_1829,blend_base_global_25,F8_F14,0.9503298869068524,-0.05951551130901785
cv_1802_1829,blend_base_global_25,F15_F21,0.9899839331403743,-0.17993906632427487
cv_1802_1829,blend_base_global_25,F22_F28,0.9665190906900885,-0.025905960788705103
cv_1802_1829,blend_base_global_50,F1_F7,0.9367518205982535,-0.07536815392675998
cv_1802_1829,blend_base_global_50,F8_F14,0.948295508123448,-0.06475160159852679
cv_1802_1829,blend_base_global_50,F15_F21,0.9880393372521997,-0.18450470578272207
cv_1802_1829,blend_base_global_50,F22_F28,0.9643163531453073,-0.031329170210140325
cv_1802_1829,blend_base_global_75,F1_F7,0.9348189341572762,-0.08054480628870998
cv_1802_1829,blend_base_global_75,F8_F14,0.9462611293400437,-0.06998769188803573
cv_1802_1829,blend_base_global_75,F15_F21,0.9860947413640249,-0.18907034524116917
cv_1802_1829,blend_base_global_75,F22_F28,0.9621180564893669,-0.03675237963157576
cv_1830_1857,seasonal_naive_28,F1_F7,0.909015030729188,-0.04673766403662974
cv_1830_1857,seasonal_naive_28,F8_F14,0.8878400670314995,-0.08465345238406954
cv_1830_1857,seasonal_naive_28,F15_F21,0.8739260073626173,-0.1076341345593257
cv_1830_1857,seasonal_naive_28,F22_F28,0.9082197776756872,-0.03696602916333566
cv_1830_1857,trend_global,F1_F7,0.9527428183302064,0.03441455028885768
cv_1830_1857,trend_global,F8_F14,0.9270727458357684,-0.0067290485638420005
cv_1830_1857,trend_global,F15_F21,0.910074629305261,-0.03166610011914679
cv_1830_1857,trend_global,F22_F28,0.9522585254554631,0.04501805460420489
cv_1830_1857,trend_state,F1_F7,0.9530977795422959,0.0347895050216732
cv_1830_1857,trend_state,F8_F14,0.9272011444101839,-0.006967626478355006
cv_1830_1857,trend_state,F15_F21,0.9107847154798716,-0.03127864581746138
cv_1830_1857,trend_state,F22_F28,0.9528123577659962,0.04555218070843341
cv_1830_1857,trend_store,F1_F7,0.9533317550209608,0.03613907760647595
cv_1830_1857,trend_store,F8_F14,0.9271817549973171,-0.005456871898896557
cv_1830_1857,trend_store,F15_F21,0.910759310280871,-0.030402619232234425
cv_1830_1857,trend_store,F22_F28,0.9533863436304987,0.046552081951544734
cv_1830_1857,trend_category,F1_F7,0.9526868747514824,0.037444046014314225
cv_1830_1857,trend_category,F8_F14,0.9272739787349573,-0.0025771827346848662
cv_1830_1857,trend_category,F15_F21,0.9083652792218828,-0.02970995827239957
cv_1830_1857,trend_category,F22_F28,0.9496313563124601,0.04512210217536827
cv_1830_1857,trend_department,F1_F7,0.9529733808919916,0.04021372171662045
cv_1830_1857,trend_department,F8_F14,0.9270106043473507,-0.0010430468936205022
cv_1830_1857,trend_department,F15_F21,0.9065142390230435,-0.02885739916846015
cv_1830_1857,trend_department,F22_F28,0.948793416427172,0.046527555317667446
cv_1830_1857,trend_store_department,F1_F7,0.9490730442984231,0.03169992868447443
cv_1830_1857,trend_store_department,F8_F14,0.923767445077665,-0.00960992772566316
cv_1830_1857,trend_store_department,F15_F21,0.9046369586249212,-0.03643988610746048
cv_1830_1857,trend_store_department,F22_F28,0.9463564381771592,0.038769634272599544
cv_1830_1857,trend_store_category,F1_F7,0.950244004810073,0.03311314276943358
cv_1830_1857,trend_store_category,F8_F14,0.9247714261492382,-0.007133598773955737
cv_1830_1857,trend_store_category,F15_F21,0.9067593148265757,-0.0339213161390114
cv_1830_1857,trend_store_category,F22_F28,0.9481599554738259,0.04096876173288568
cv_1830_1857,trend_horizon_daily,F1_F7,0.9472618615876124,0.021974184472700622
cv_1830_1857,trend_horizon_daily,F8_F14,0.9146582585825188,-0.03647801517493656
cv_1830_1857,trend_horizon_daily,F15_F21,0.8984892932708528,-0.07375212703496006
